Date,Open,High,Low,Close,Adj Close,Volume
2019-09-09,1694.000000,1700.000000,1631.920044,1686.000000,1673.130005,3762
2019-09-10,1694.000000,1694.000000,1584.000000,1634.000000,1621.526978,15297
2019-09-11,1552.000000,1690.000000,1552.000000,1636.000000,1623.511597,12675
2019-09-12,1636.000000,1694.000000,1614.400024,1682.000000,1669.160522,46829
2019-09-13,1638.000000,1706.500000,1634.800049,1683.729980,1670.877319,20290
2019-09-16,1676.000000,1718.000000,1670.000000,1710.000000,1696.946777,25380
2019-09-17,1710.000000,1734.000000,1706.000000,1706.000000,1692.977295,23957
2019-09-18,1748.000000,1748.000000,1708.000000,1728.000000,1714.809448,19609
2019-09-19,1702.000000,1724.000000,1656.089966,1724.000000,1710.839966,12846
2019-09-20,1730.000000,1770.000000,1710.000000,1770.000000,1756.488770,24001
2019-09-23,1732.000000,1790.400024,1724.000000,1756.000000,1742.595703,35046
2019-09-24,1760.000000,1768.000000,1724.000000,1724.000000,1710.839966,16248
2019-09-25,1720.000000,1740.000000,1680.000000,1682.000000,1669.160522,5387
2019-09-26,1706.000000,1714.000000,1671.890015,1690.000000,1677.099487,14859
2019-09-27,1686.000000,1720.000000,1647.500000,1680.000000,1667.175781,5037
2019-09-30,1696.000000,1696.000000,1625.000000,1662.000000,1649.313232,16925
2019-10-01,1660.000000,1680.000000,1654.000000,1680.000000,1667.175781,48530
2019-10-02,1680.000000,1680.000000,1660.000000,1668.000000,1655.267334,10202
2019-10-03,1626.000000,1662.000000,1606.000000,1620.000000,1607.633789,44359
2019-10-04,1640.000000,1662.000000,1622.839966,1662.000000,1649.313232,10433
2019-10-07,1688.000000,1774.000000,1642.780029,1764.000000,1750.534546,19358
2019-10-08,1766.000000,1766.000000,1702.000000,1736.000000,1722.748413,5021
2019-10-09,1726.000000,1748.000000,1706.000000,1706.000000,1692.977295,4308
2019-10-10,1716.000000,1732.000000,1676.000000,1710.000000,1696.946777,36286
2019-10-11,1684.000000,1746.000000,1684.000000,1720.000000,1706.870483,21090
2019-10-14,1738.000000,1748.000000,1680.000000,1716.000000,1702.901001,5107
2019-10-15,1724.000000,1760.000000,1708.800049,1750.000000,1736.641479,6769
