Date,Open,High,Low,Close,Adj Close,Volume
2019-09-09,58737.500000,58737.500000,58737.500000,58737.500000,58737.500000,0
2019-09-10,58342.000000,58342.000000,58342.000000,58342.000000,58342.000000,0
2019-09-11,59151.500000,59151.500000,59151.500000,59151.500000,59151.500000,0
2019-09-12,59525.000000,59653.000000,59525.000000,59695.500000,59695.500000,1038
2019-09-13,59304.000000,59304.000000,59304.000000,59151.500000,59151.500000,2
2019-09-16,58707.000000,58825.000000,58707.000000,58916.500000,58916.500000,551
2019-09-17,58653.000000,58653.000000,58653.000000,58653.000000,58653.000000,0
2019-09-18,58783.000000,58783.000000,58783.000000,58607.000000,58607.000000,4
2019-09-19,58662.000000,58662.000000,58662.000000,59090.000000,59090.000000,6
2019-09-20,58555.398438,58555.398438,58555.398438,58942.500000,58942.500000,42
2019-09-23,58745.000000,58745.000000,58745.000000,58745.000000,58745.000000,0
2019-09-24,58564.500000,58564.500000,58564.500000,58564.500000,58564.500000,0
2019-09-25,58118.000000,58118.000000,58118.000000,58418.000000,58418.000000,6
2019-09-26,58563.000000,58563.000000,58563.000000,58327.000000,58327.000000,2
2019-09-27,58817.500000,58817.500000,58817.500000,58817.500000,58817.500000,0
2019-09-30,58784.500000,58784.500000,58784.500000,58784.500000,58784.500000,0
2019-10-01,59497.000000,59497.000000,59497.000000,58832.000000,58832.000000,519
2019-10-02,57013.500000,57013.500000,57013.500000,57013.500000,57013.500000,0
2019-10-03,56686.000000,56686.000000,56686.000000,56790.500000,56790.500000,519
2019-10-04,57378.500000,57378.500000,57378.500000,58003.000000,58003.000000,108
2019-10-07,58323.500000,58323.500000,58323.500000,58323.500000,58323.500000,0
2019-10-08,57778.500000,57778.500000,57778.500000,57778.500000,57778.500000,0
2019-10-09,57810.000000,58037.000000,57810.000000,57868.500000,57868.500000,1038
2019-10-10,58134.000000,58134.000000,58134.000000,58134.000000,58134.000000,0
2019-10-11,57712.000000,57712.000000,57712.000000,57505.500000,57505.500000,519
2019-10-14,57596.898438,57712.000000,57596.898438,57512.000000,57512.000000,9
2019-10-15,57451.500000,57451.500000,57451.500000,57451.500000,57451.500000,0
2019-10-16,57014.500000,57014.500000,57014.500000,57014.500000,57014.500000,0
2019-10-17,56801.000000,56801.000000,56801.000000,57035.500000,57035.500000,519
2019-10-18,56715.000000,56715.000000,56715.000000,56715.000000,56715.000000,0
2019-10-21,56322.500000,56322.500000,56322.500000,56322.500000,56322.500000,0
2019-10-22,56405.000000,56405.000000,56405.000000,56405.000000,56405.000000,0
2019-10-23,56613.500000,56613.500000,56613.500000,56613.500000,56613.500000,0
2019-10-24,56725.000000,56725.000000,56725.000000,56849.000000,56849.000000,519
2019-10-25,56839.000000,56839.000000,56839.000000,57397.000000,57397.000000,92
2019-10-28,57703.000000,57703.000000,57703.000000,57703.000000,57703.000000,0
2019-10-29,57741.000000,57741.000000,57741.000000,57741.000000,57741.000000,0
2019-10-30,57728.000000,57728.000000,57523.000000,57662.000000,57662.000000,390
2019-10-31,57667.000000,57696.000000,57667.000000,57364.000000,57364.000000,564
